Name,x,y,Admin1,Admin2,Admin3
Irele Primary Health Clinic,5.60872,8.00794,Ekiti,Ikole,Ipao/Okeako/Irele
Sauki Health Clinic,12.17441,10.61746,Borno,Biu,Galdimari
Ngamdu Model Primary Health Care Center,12.26238,11.76032,Borno,Kaga,Ngamdu
Shaffa Primary Health Center,12.32761,10.51261,Borno,Hawul,Shaffa
Pelambirin Health Post,12.370303,10.406323,Borno,Hawul,Puba Vidor
Damasak General Hospital,12.50507,13.09441,Borno,Mobbar,Zanna Umarti
Damboa Town Health Clinic,12.753967,11.160011,Borno,Damboa,Damboa
Diggiri Health Post,10.526103,11.219787,Bauchi,Darazo,Lago
Mbulabam Health Post,12.91238,10.84193,Borno,Chibok,Kuburmbula
Kwatam Medical Clinic,13.134026,11.863278,Borno,Maiduguri,Bolori 1
City Medical Center,13.151874,11.855504,Borno,Maiduguri,Lamisula Jabbamari
Ute Basic Health Center,5.604492187,6.851501465,Ondo,Ose,Ute
Walafa Health Post,13.309904,10.777358,Borno,Askira/Uba,Wamdeo
Mallam Fatori Primary Health Center,13.34183,13.66447,Borno,Abadam,Kudo Kurgu
Konduga General Hospital,13.40644,11.65719,Borno,Konduga,Konduga
Kawuri Maternity and  Child Health Clinic,13.53319,11.57609,Borno,Konduga,Kawuri
Mafa General Hospital,13.59644,11.91993,Borno,Mafa,Mafa
Baga Health Clinic,13.82126,13.09461,Borno,Kukawa,Baga
New Marte Maternity and  Child Health Clinic,13.86494,12.24535,Borno,Marte,Njine
Kirawa Primary Health Clinic,13.91008,11.19046,Borno,Gwoza,Kirawa Jimini
Gwallam Health Post,12.339761,10.466586,Borno,Hawul,Puba Vidor
Monguno Town Health Post,13.61679,12.67127,Borno,Monguno,Monguno
Wuyo Primary Health Care Center,11.695865,10.383772,Borno,Bayo,Wuyo
Mirnga Primary Health Clinic,12.14567,10.72601,Borno,Biu,Mirnga
Rumirgo Federal Model Health Center,13.042286,10.589723,Borno,Askira/Uba,Rumirgo Chull
Muffa Primary Health Clinic,13.202196,10.456248,Borno,Askira/Uba,Uba
Doro Primary Health Center,13.86098,13.11643,Borno,Kukawa,Doro
Imoru Basic Health Center,5.753112793,6.872924804,Ondo,Ose,Imoru/Arinmogija
Wulgo Health Clinic,14.17432,12.47591,Borno,Ngala,Wulgo
Old Gubio Clinic,12.785114,12.501712,Borno,Gubio,Gubio 2
Banki Bulabulin Lawanti Primary Health Clinic,14.150777,11.24891,Borno,Bama,Banki
Jiddari Polo Primary Health Center,13.145925,11.794494,Borno,Jere,Galtimari
Gongulong Primary Health Clinic,13.18684,11.91979,Borno,Jere,Gongulon
Gajiram Maternity and Child Health Centre,13.21419,12.49346,Borno,Nganzai,Gajiram
Walama Primary Health Care Center,11.962756,10.283873,Borno,Shani,Walama
Mairi Primary Health Clinic,13.18832,11.81118,Borno,Jere,Mairi (Jere)
Hussara Health Post,13.23590088,10.48388672,Borno,Hong,Uba
Kuma Health Post,13.19606878,10.41587624,Borno,Askira/Uba,Uba
Dikwa Primary Health Care Center,13.92517952,12.03364914,Borno,Dikwa,Dikwa
28 Housing Unit Health Clinic,13.42477,11.64521,Borno,Konduga,Konduga
Likama Primary Health Clinic,12.84376667,10.871395,Borno,Chibok,Likama
Karani Health Clinic,4.556776,13.135243,Sokoto,Binji,Soron Yamma
Kwaya Kusar Primary Health Center,11.83595,10.49914,Borno,Kwaya Kusar,Kwaya-Kusar
Maiduguri University Teaching Hospital,13.180323,11.826379,Borno,Jere,Mairi (Jere)
Damasak Maternity and Child Health Centre,12.50575,13.10532,Borno,Mobbar,Damasak
Ejule (Ofu) Primary Health Center,7.099893333,7.366673333,Kogi,Ofu,Ejule (Ofu)
Farec Clinic,6.731006667,7.802936667,Kogi,Lokoja,Lokoja A
Kabawa Primary Health Center,6.747116667,7.822268333,Kogi,Lokoja,Lokoja E
Okenya Primary Health Care,6.792465,7.143883333,Kogi,Igalamela-Odolu,Ajaka 1
Karara Otube Primary Health Center,6.755968333,7.941426667,Kogi,Lokoja,Oworo
Odoma Clinic and Maternity,6.769446667,7.13086,Kogi,Igalamela-Odolu,Ajaka 1
Inata Primary Health Care,6.169921915,7.58812401,Kogi,Okehi,Obeiba 2
Ihiame Primary Health Care,7.09819,7.20628,Kogi,Igalamela-Odolu,Oforachi 2
Otutu Health Post,6.242819296,7.548179401,Kogi,Okene,Otutu
Agala Primary Health Center,7.554658333,7.187435,Kogi,Olamaboro,Ikeje 4
Adum Primary Health Center,7.651279775,7.163019131,Kogi,Ogbadibo,Ai-Oodo 1
Asa Umuakwa Primary Health Center,7.3249133,5.012195,Abia,Ugwunagbo,Umuarukwu
Umuagara Primary Health Center,7.321581667,4.997365,Abia,Ugwunagbo,Ihieukwu
Ihie Ukwu Primary Health Care Center,7.3092183,5.0072833,Abia,Ugwunagbo,Ihieukwu
Sagamu Community Centre,3.646216667,6.841305,Ogun,Sagamu,Itun Sokun
Ebia Oshiri Primary Health Center,7.884983333,6.132526667,Ebonyi,Onicha,Ebia Oshiri
Isiala Ihie Primary Health Center,7.316343333,5.02345,Abia,Ugwunagbo,Ihie-Obeaku
Abudu General Hospital,6.02039,6.29418,Edo,Orhionmwon,Abiokunla 1
Damfami Primary Health Center,6.85025,12.60696,Zamfara,Birnin Magaji,Danfani Sabon Birni
Ayotola Hospital Specialist,3.640313333,6.843026667,Ogun,Sagamu,Latawa
Gidan Dangwari Health Post,6.665527344,12.34008789,Zamfara,Bungudu,Bungudu
Aigbogun Clinic and Maternity,6.02669,6.28973,Edo,Orhionmwon,Abiokunla 1
El Bethel Medical Center,3.64098,6.83462,Ogun,Sagamu,Gra Sabo
Gbekelolu Medical Center,3.63071,6.845356667,Ogun,Sagamu,Ojumele
Alawaye Health Post,4.969116211,7.748291016,Ekiti,Efon,Alajo / Sur
New Bethel Hospital,6.99029541,5.840881348,Imo,Orsu,Orsu Ihitteukwa 1 And 2
Abudu Primary Health Center,6.031650578,6.294533465,Edo,Orhionmwon,Abiokunla 1
Oheze Naka Primary Health Center,6.021059759,6.203153457,Edo,Orhionmwon,Ugbeka
Evbobanosa Primary Health Center,5.983276367,6.292907714,Edo,Orhionmwon,Abiokunla 2
Assah Ubilerem Health Post,6.993713379,5.858093262,Imo,Orsu,Assah-Ubirielem
Tunmise Hospital Maternity,3.647277832,6.848327637,Ogun,Sagamu,Ijagba
Unique Specialist Clinic,3.64757,6.82914,Ogun,Sagamu,Sabo Agura
Imperial Hospital Specialist,3.643676758,6.849487305,Ogun,Sagamu,Isote
Unguwar Galadima Health Clinic,6.536408,11.418622,Zamfara,Maru,Kuyanbana
Shirgi Health Post,6.607871,12.319742,Zamfara,Bungudu,Furfuri Kwaikwai
Gegeta Health Post,6.65609,12.63445333,Zamfara,Kaura Namoda,Gabake
Royal Cottage Hospital,3.645324707,6.832092285,Ogun,Sagamu,Sabo Agura
Meditop Hospital Specialist,3.63476,6.84415,Ogun,Sagamu,Ijagba
Owokoniran Memorial Clinic,3.63036,6.85208,Ogun,Sagamu,Ojumele
Bodmanns Hospital Specialist,3.70098,6.87138,Ogun,Ikenne,Ikenne 2
Messiah Maternity Clinic,7.31821,5.02738,Abia,Ugwunagbo,Umuarukwu
Divine Hospital,3.64353,6.8281,Ogun,Sagamu,Ogijo
Aladura Health Post,4.944646667,7.775273333,Ekiti,Efon,Alajo / Sur
Itaido Primary Health Clinic,4.957471667,7.73169,Ekiti,Efon,Alajo / Sur
Alajo Primary Health Clinic,4.924856667,7.697588333,Ekiti,Efon,Alajo / Sur
Umuoka Model Primary Health Center,6.99242,5.85181,Imo,Orsu,Assah-Ubirielem
Nwanyinma Health Clinic,6.98600374,5.839155648,Imo,Orsu,Umuhu-Okabia
Surulere Primary Health Clinic,4.951946352,7.729100158,Ekiti,Efon,Alajo / Sur
Danko Primary Health Care Center,5.177777,11.603098,Kebbi,Danko/Wasagu,Danko Maga
Chidawa Health Post,4.851717,11.411238,Kebbi,Fakai,Gulbin Kuka
Dabai Health Post,5.202927,11.480685,Kebbi,Zuru,Ciroman Dabai
Zuru Martha Bamaiyi General Hospital,5.237989,11.418921,Kebbi,Zuru,Rafin Zuru
Gubba Health Post,4.430114746,11.92791748,Kebbi,Maiyama,Andarai
Renasance Ic Specialist Hospital,3.649305,6.853823333,Ogun,Sagamu,Soyindo
Life Health Care Clinic,3.34985,6.59825,Lagos,Ikeja,Orile Ikeja
Soyindo Health Clinic,3.646911621,6.854125976,Ogun,Sagamu,Soyindo
Simawa Health Center,3.50183,6.77392,Ogun,Sagamu,Simawa
Ago Ogunrinde Mdg Primary Health Center,4.182771667,7.642765,Osun,Iwo,Molete 3
Abbott Health Clinic,12.18854,10.62183,Borno,Biu,Zarawuyaku
Garba Buzu Idp Camp Health Clinic,13.120817,11.791412,Borno,Maiduguri,Bolori 1
Gajiram Support Programme Family Clinic,13.21245689,12.48799316,Borno,Nganzai,Gajiram
Gwaskara Primary Health Care Center,12.14101785,10.27690801,Borno,Shani,Gwaskara
Kauthama Primary Health Clinic,12.794441,10.741468,Borno,Chibok,Mbalala
Gwoza General Hospital,13.42484,11.16636,Borno,Gwoza,Hausari Gadamayo
Izge Primary Health Care Clinic,13.30183,10.98307,Borno,Gwoza,Bita Izge
Dikwa Maternity and  Child Health Clinic,13.92057,12.03368,Borno,Dikwa,Dikwa
Mbalala Primary Health Center,12.874923,10.779357,Borno,Chibok,Mbalala
Maiduguri State Hospital Specialist,13.14987062,11.84024541,Borno,Maiduguri,Zango (Hausari) (Maiduguri)
Unimaid Medical Center,13.19751,11.804,Borno,Jere,Mairi (Jere)
Bolori Primary Health Center,13.123278,11.857786,Borno,Maiduguri,Bolori 1
Njimtilo Primary Health Care Center,13.01745,11.84867,Borno,Konduga,Auno
Eyn Wandali Primary Health Center,11.955,10.56885,Borno,Kwaya Kusar,Gongdi
Kanem Hospital,13.1476,11.8532,Borno,Maiduguri,Mafoni
Jaragol Primary Health Care Center,11.62414008,10.22533669,Borno,Bayo,J/Gol
Burashika Primary Health Clinic,11.921207,10.141333,Borno,Shani,Bargu
Sangwa Health Post,12.209519,10.328719,Borno,Shani,Buma
Bulabulin Health Clinic,13.157555,11.834831,Borno,Maiduguri,Bulabulin Gwoza Wakane
Banki Idps Camp Clinic,14.15264527,11.25611656,Borno,Bama,Banki
Sunni Hospital,13.15556,11.85889,Borno,Maiduguri,Lamisula Jabbamari
Yimirmugza Health Post,12.98767,10.78183,Borno,Chibok,Kautikari
Fariya Idp Camp Clinic,13.18143167,11.86742,Borno,Jere,Old Maiduguri
Mbalala Eyn Primary Health Clinic,12.879327,10.768877,Borno,Chibok,Mbalala
777 Housing Estate Primary Health Care Center,13.06077502,11.83922498,Borno,Konduga,Auno
Aqualibra Maternity Home,3.32079,6.66804,Lagos,Ifako/Ijaye,Iju Ishaga
20 Housing Idps Clinic,13.68637846,11.07267316,Borno,Gwoza,Bulabulin Gwoza Wakane
Aharu Health Post,7.596130371,6.736083984,Enugu,Isi-Uzo,Mbu 2
Jakana Model Primary Health Care Center,12.772753,11.841431,Borno,Konduga,Jakana
Muna Idp Camp (A) Clinic,13.25002,11.871403,Borno,Jere,Dusuman
Ajebadmidele Health Post,5.07381,7.702341667,Ekiti,Ekiti West,Aramoko 1
Zadawa Primary Health Care Center,12.89444,10.64694,Borno,Askira/Uba,Hussara Zadawa
Ajifat Hospital,3.338183333,6.464711667,Lagos,Ajeromi/Ifelodun,Amukoko
Babadidi Health Clinic,11.84665833,10.50777167,Borno,Kwaya Kusar,Kwaya-Kusar
Herwa Peace Health Clinic,13.14111,11.86056,Borno,Maiduguri,Bolori 2
Gunda Primary Health Care Center,11.8504,10.78622333,Borno,Biu,Gunda
Bulabulin Ngrannam Primary Health Center,13.1475,11.87972,Borno,Maiduguri,Bolori 2
Magumeri General Hospital,12.82254139,12.11996467,Borno,Magumeri,Magumeri
Shani Primary Health Care Center,12.064585,10.217833,Borno,Shani,Shani
Fori Health Clinic,13.17769013,11.79969598,Borno,Jere,Galtimari
Fatima Ali Sheriff Primary Health Clinic,13.10133,11.82787,Borno,Maiduguri,Maisandari (Maiduguri)
Lajada Primary Health Care Center,12.15707833,10.28268333,Borno,Shani,Gwaskara
Nakowa Hospital Specialist,13.16168213,11.82147217,Borno,Maiduguri,Maisandari (Maiduguri)
Yimirshika Primary Health Care,12.24083,10.52611,Borno,Hawul,Kida
Labilis Primary Health Care Center,11.88445,10.21831,Borno,Shani,Lakundum
Magumeri Maternity and  Child Health Clinic,12.8274,12.1131,Borno,Magumeri,Magumeri
Hussara Primary Health Center,13.23694,10.49861,Borno,Askira/Uba,Hussara Tampul
Zara Primary Health Care Center,11.77607379,10.66552406,Borno,Bayo,Zara
Laro Primary Health Clinic,11.8016,10.33448333,Borno,Bayo,Wuyo
Mbulatawiwi Primary Health Center,12.10305,10.43507,Borno,Hawul,Gwanzang Chata
Rahama Maternity Clinic,13.09231,11.82947,Borno,Jere,Ngomari
Bama Skin Clinic,13.68847656,11.52612305,Borno,Bama,Kasugula
Phara Ecwa Church Primary Health Clinic,11.80847168,10.17468262,Borno,Shani,Gasi
Kachalla Burari Primary Health Care Center,12.75431667,11.13177333,Borno,Damboa,Nzuda Wuyaram
Maina Baba Health Post,11.5805,10.34076,Borno,Bayo,Gamadadi
Gamboru Male Health Clinic,13.16833,11.85083,Borno,Maiduguri,Gamboru
Ngabu Health Post,12.0279,10.1543,Borno,Shani,Shani
Biu General Hospital,12.203666,10.603112,Borno,Biu,Silumthla
Giwi Primary Health Clinic,13.105505,10.508908,Borno,Askira/Uba,Wamdeo
Gaidam Health Post,11.7528,10.45045,Borno,Bayo,Wuyo
Garubula Sabo Primary Health Care Center,12.020756,10.775414,Borno,Biu,Garunbula
Ngohi Primary Health Center,12.689948,10.67136,Borno,Askira/Uba,Ngohi
Royal Hospital Specialist,13.171431,11.791327,Borno,Jere,Galtimari
Dalori Health Clinic,13.217603,11.776749,Borno,Jere,Mairi (Jere)
Lassa General Hospital,13.267395,10.680277,Borno,Askira/Uba,Lassa
Kilarangal Primary Health Clinic,12.764154,10.705281,Borno,Askira/Uba,Ngohi
Hoyo Health Clinic,12.95174,11.99904,Borno,Magumeri,Hoyo Chingowa
Buratai Primary Health Care Center,12.08488,10.90491,Borno,Biu,Buratai
Yawi Primary Health Center,12.217478,10.596281,Borno,Biu,Yawi
Grambal Health Clinic,12.575133,10.687634,Borno,Askira/Uba,Ngulde
Leho A Health Post,12.8461,10.70401,Borno,Askira/Uba,Hussara Zadawa
Yimir Ali Health Clinic,12.994799,10.611721,Borno,Askira/Uba,Askira East
Dille Primary Health Center,13.21801,10.74811,Borno,Askira/Uba,Delle Huyam
Gamadadi Primary Health Care Center,11.554735,10.321589,Borno,Bayo,Gamadadi
Tum Primary Health Center,12.10883,10.60534,Borno,Biu,Dugja
Mainok Primary Health Care Center,12.63188,11.82987,Borno,Kaga,Mainok
Gubio Maternity and Child Health Centre,12.78443,12.49168,Borno,Gubio,Gubio 1
Gatamarwa Primary Health Center,12.98189,10.703721,Borno,Chibok,Gatamarwa
Wamdeo Primary Health Center,13.13661,10.5213,Borno,Askira/Uba,Wamdeo
Abbaganaram Primary Health Center,13.156978,11.857888,Borno,Maiduguri,Shehuri North
Chata Primary Health Care,12.02328,10.35034,Borno,Hawul,Gwanzang Chata
Gubio General Hospital,12.77388,12.50002,Borno,Gubio,Gubio 1
Briyel General Hospital,11.592683,10.337012,Borno,Bayo,Briyel
Briyel Maternity and Child Health Centre,11.609961,10.34696,Borno,Bayo,Briyel
Juggal Primary Health Center,11.72145,10.51234,Borno,Kwaya Kusar,Kurbagayi
Sakdiya Primary Health Clinic,11.770582,10.433482,Borno,Bayo,Wuyo
Kukwal Health Post,11.776477,10.648324,Borno,Bayo,Balbaya
Chibra Primary Health Clinic,11.810263,10.375085,Borno,Bayo,Wuyo
Kubuku Primary Health Center,11.929084,10.424833,Borno,Kwaya Kusar,Kubuku
Savira Health Post,11.93694,10.52752,Borno,Kwaya Kusar,Guwal
Jeki Health Post,12.003,10.07153,Borno,Shani,Kubo
Fikka Health Clinic,12.01101,10.432305,Borno,Kwaya Kusar,Billa Gussi
Marama General Hospital,12.16206,10.45475,Borno,Hawul,Marama Kidang
Mandafumma Health Post,12.25103,10.712033,Borno,Biu,Zarawuyaku
Azare General Hospital,12.297802,10.526079,Borno,Hawul,Hizihi
Tamsukawu Health Clinic,12.34696,11.774348,Borno,Kaga,Ngamdu
Liya Health Post,12.38839,10.70175,Borno,Biu,Mandaragirau
Gang Shaffa Health Post,12.402149,10.560294,Borno,Hawul,Kwajaffa Harang
Kwajaffa Primary Health Care,12.417347,10.467104,Borno,Hawul,Kwajaffa Harang
Kimba Health Post,12.41886,10.82319,Borno,Biu,Gur
Benishiekh General Hospital,12.506269,11.809924,Borno,Kaga,Benishiekh
Kauji Health Clinic,12.70416,11.03602,Borno,Damboa,Azir
Bwalangyang Primary Health Clinic,12.78188,10.87571,Borno,Chibok,Whuntaku Chibok
Kallah Health Clinic,12.786625,11.175548,Borno,Damboa,Bego/Yerwa
Askira General Hospital,12.9079,10.65664,Borno,Askira/Uba,Hussara Zadawa
Malakyaririprimary Health Center,13.21826,11.85315,Borno,Mafa,Tamsu Ngamduwa
Kayamla Health Clinic,13.220543,11.689284,Borno,Konduga,Ajiri
Malari Primary Health Care Center,13.34515,11.69485,Borno,Konduga,Malari
Auno Primary Health Care Center,12.93304,11.84734,Borno,Konduga,Auno
Korko Health Post,11.603765,10.271252,Borno,Bayo,J/Gol
Danbitam Health Post,11.748615,10.446823,Borno,Bayo,Wuyo
Guburnde Health Post,11.772604,10.336014,Borno,Bayo,Wuyo
Kurungulung Health Post,11.805899,10.23958,Borno,Shani,Gasi
Bilazi Primary Health Center,11.863674,10.320387,Borno,Kwaya Kusar,Yimirdalang
Guba Primary Health Center,11.8686,10.55771,Borno,Kwaya Kusar,Kwaya-Kusar
Kwahara Health Post,11.890847,10.30382,Borno,Shani,Walama
Charangi Health Post,11.930515,10.636038,Borno,Biu,Garunbula
Kogu Primary Health Clinic,11.94627,10.416574,Borno,Kwaya Kusar,Wada
Budam Primary Health Clinic,11.959776,10.3215,Borno,Shani,Walama
Pitila Health Post,11.998352,10.241295,Borno,Shani,Shani
Wunje Primary Health Care Center,12.007861,10.186202,Borno,Shani,Shani
Bakaina Primary Health Clinic,12.0361,10.13872,Borno,Shani,Shani
Shani General Hospital,12.053837,10.226303,Borno,Shani,Shani
Hizhi Health Post,12.128317,10.653353,Borno,Biu,Dugja
Army Barrack Health Clinic,12.19268,10.59516,Borno,Biu,Yawi
Pama Health Post,12.248058,10.478017,Borno,Hawul,Pama Whitambaya
Whitambaya Health Clinic,12.250148,10.392476,Borno,Hawul,Pama Whitambaya
Wasaram Primary Health Care Center,12.32198,11.63262,Borno,Kaga,Wasaram
Tashan Alade Clinic,12.419653,10.490596,Borno,Hawul,Kwajaffa Harang
Debiro Health,12.433288,10.58391,Borno,Biu,Mandaragirau
Kukurupu Primary Health Care Center,12.543841,10.399161,Borno,Hawul,Puba Vidor
Malaharam Health Clinic,12.753513,11.047196,Borno,Damboa,Nzuda Wuyaram
Bazam Clinic,12.7899,12.57474,Borno,Gubio,Gubio 2
Paya Yesu Health Post,12.919518,10.748481,Borno,Chibok,Gatamarwa
Molai General Hospital,13.100358,11.743551,Borno,Jere,Galtimari
Dikwa General Hospital,13.9127,12.04205,Borno,Dikwa,Dikwa
Ngala General Hospital,14.18799,12.34474,Borno,Ngala,Ngala
Dusuman Primary Health Clinic,13.26118,11.90918,Borno,Jere,Dusuman
Jaradali Primary Health Care Center,11.701579,10.249377,Borno,Bayo,Jaradali
Bargu Primary Health Care Center,11.962437,10.087513,Borno,Shani,Bargu
Kidang Primary Health Center,12.147786,10.429818,Borno,Hawul,Marama Kidang
Teli Primary Health Care Center,11.706607,10.445647,Borno,Bayo,Teli
Mandaragirau Primary Health Care Center,12.331403,10.693391,Borno,Biu,Mandaragirau
Umar Shehu Ultra Modern Hospital,13.088139,11.834827,Borno,Jere,Ngomari
Mussa Primary Health Center,13.127645,10.741835,Borno,Askira/Uba,Mussa
Chull Primary Health Care Center,13.131757,10.615917,Borno,Askira/Uba,Rumirgo Chull
Makintakururi Health Clinic,12.39238,11.77835,Borno,Kaga,Wajiro Burgumma
Limanti Health Post,11.661971,10.57063,Borno,Bayo,Limanti
Balbaya Primary Health Care Center,11.733912,10.618711,Borno,Bayo,Balbaya
Benisheikh Primary Health Care Center,12.48794,11.80735,Borno,Kaga,Benishiekh
Azir Primary Health Care Center,12.646093,11.044049,Borno,Damboa,Azir
Divine Care Clinic and Maternity,6.79461,6.1047,Anambra,Ogbaru,Okpoko Ward 6
Yimirdalang Primary Health Center,11.846759,10.393959,Borno,Kwaya Kusar,Yimirdalang
Kareji Primary Health Clinic,11.858082,10.036077,Borno,Shani,Kombo
Dayar Health Clinic,11.998738,10.466379,Borno,Kwaya Kusar,Kubuku
Wurobokki Primary Health Care Center,12.053435,10.075373,Borno,Shani,Gwalasho
Sakwa Primary Health Center,12.202291,10.502219,Borno,Hawul,Sakwa
Kida Primary Health Center,12.270902,10.564265,Borno,Hawul,Kida
Hyera Primary Health Care Center,12.304128,10.475546,Borno,Hawul,Puba Vidor
Kirbutu Primary Health Center,12.432739,10.482099,Borno,Hawul,Kwajaffa Harang
Njilang Primary Health Clinic,12.779121,10.84971,Borno,Chibok,Whuntaku Chibok
Gomari Primary Health Center,13.084458,11.830332,Borno,Jere,Ngomari
Dalaram Primary Health Center,13.169318,11.867368,Borno,Jere,Old Maiduguri
Gwange Hospital Maternity,13.170601,11.83974,Borno,Maiduguri,Gwange 1
Mashamari Primary Health Center,13.180999,11.847177,Borno,Jere,Mashamari
Zabbarmari Health Clinic,13.24299,11.928,Borno,Jere,Khaddamari
Gora Primary Health Care Center,11.91272,10.04636,Borno,Shani,Gora
Buma Primary Health Care Center,12.17829156,10.32893949,Borno,Shani,Buma
Wawa Primary Health Center,11.9147874,10.473318,Borno,Kwaya Kusar,Wawa
Gadam Primary Health Clinic,11.88806675,10.53373391,Borno,Kwaya Kusar,Kwaya-Kusar
Kwardum Health Post,11.96612817,10.426147,Borno,Kwaya Kusar,Kubuku
Nahuta Health Post,11.94325659,10.31638536,Borno,Shani,Walama
Garingado Health Post,11.6623065,10.48916671,Borno,Bayo,Teli
Borno Medical Health Clinic,13.14428711,11.85308838,Borno,Maiduguri,Lamisula Jabbamari
Shuwari Primary Health Care Center,12.76352328,11.14778582,Borno,Damboa,Damboa
Zannariprimary Health Center,13.19294,11.83871833,Borno,Mafa,Tamsu Ngamduwa
Maimusari Primary Health Care Center,13.18625,11.83372,Borno,Jere,Maimusari
Zange Primary Health Clinic,11.7646245,10.2755383,Borno,Bayo,Jaradali
Bam Health Post,12.03519976,10.97259961,Borno,Biu,Buratai
Kubodeno Primary Health Care Center,11.820402,10.222964,Borno,Shani,Gasi
Kwaya Kusar Maternity and Child Health Centre,11.84,10.49151,Borno,Kwaya Kusar,Kwaya-Kusar
Kwaya Kusar General Hospital,11.84163,10.49925,Borno,Kwaya Kusar,Kwaya-Kusar
Mboa Yimbula Primary Health Center,12.772554,10.922684,Borno,Chibok,Mbokura
Mgbidi Health Post,6.89879113,5.727366611,Imo,Oru West,Mgbidi 3
Tungan Mummuni Health Post,3.89054139,11.60585477,Kebbi,Suru,Aljannare
Kira Primary Health Center,7.250305176,4.720092773,Rivers,Tai,Tai 5
Akinorun Mdg,4.654606667,7.919796667,Osun,Ifelodun,Isale Ikirun
